% Device,CC1942005
% File name,CC1942005_20240202_161619
% Cast time (UTC),2024-02-02 16:16:19
% Cast time (local),2024-02-02 13:16:19
% Sample type,Invalid
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9428692
% Start longitude,-43.1715149
% Start altitude,5.6440000534057617
% Start GPS horizontal error(Meter),13.640000343322754
% Start GPS vertical error(Meter),44.479000091552734
% Start GPS number of satellites,6
% End latitude,-22.9428835
% End longitude,-43.1714941
% End altitude,9.1510000228881836
% End GPS horizontal error(Meter),15.949999809265137
% End GPS vertical error(Meter),50.280998229980469
% End GPS number of satellites,6
% Cast duration (Seconds),4.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,26.36578369140625,262.82797241210938
0.4,0.0047308921813957738,26.364086151123047,265.31878662109375
0.6,0.00016441345214879277,26.365297317504883,265.55569458007812
0.8,0.0070820808410640979,26.368049621582031,265.60281372070312
1,0.0063446044921882105,26.378183364868164,265.64260864257812
1.2,0.0067000389099121094,26.3920841217041,265.54959106445312
1.4,0.0037729263305656957,26.395877838134766,265.2080078125
1.6,0.0030354499816898084,26.398166656494141,265.20556640625
1.8,-0.0075458526611331678,26.397064208984375,265.18161010742188
2,-0.0055500984191887426,26.396205902099609,265.09744262695312
2.2,-0.00027179718017578125,26.386325836181641,265.24404907226562
2.4,0.00062913894653249258,26.3780517578125,265.2548828125
2.6,-0.00010929107665980098,26.373264312744141,265.2237548828125
2.8,0.00024614334106409785,26.369163513183594,265.19467163085938
3,0.0038831710815436793,26.366180419921875,264.921875
3.2,0.0042386054992675781,26.364315032958984,264.79888916015625
3.4,0.016624641418456321,26.361286163330078,264.42758178710938
3.6,0.016981983184814808,26.360124588012695,264.3306884765625
3.8,0.0063978195190426135,26.359716415405273,264.2470703125
4,-0.0014483451843254613,26.356269836425781,264.54153442382812
4.2,0,26.348930358886719,264.59906005859375
