% Device,CC1942005
% File name,CC1942005_20240203_114340
% Cast time (UTC),2024-02-03 11:43:40
% Cast time (local),2024-02-03 08:43:40
% Sample type,Point measurement
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9158505
% Start longitude,-43.1721554
% Start altitude,2.2660000324249268
% Start GPS horizontal error(Meter),239.93899536132813
% Start GPS vertical error(Meter),634.780029296875
% Start GPS number of satellites,3
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),79.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,23.956644058227539,23.532978057861328
0.4,-0.0054504625142666185,23.955011367797852,27.120157241821289
0.6,-0.0010618671061717322,23.9515323638916,27.798683166503906
0.8,-0.0010411000672156945,23.948945999145508,28.43238639831543
1,-0.005396744466247938,23.94921875,28.985832214355469
1.2,-0.0064746102397936767,23.948793411254883,29.364013671875
1.4,-0.0020841074830642015,23.947242736816406,29.6053466796875
1.6,-0.0069833462424480075,23.945764541625977,29.806114196777344
1.8,-0.0025928434857185323,23.945430755615234,29.849811553955078
2,-0.0091343094179556772,23.944728851318359,29.959684371948242
2.2,-0.0085747163902301082,23.944431304931641,30.0002384185791
2.4,-0.012931314463578758,23.944290161132812,29.474863052368164
2.6,-0.014007272888491684,23.944908142089844,28.334972381591797
2.8,-0.015629686696703615,23.943210601806641,27.107240676879883
3,-0.012875689066927265,23.943946838378906,25.982301712036133
3.2,-0.012310373993305035,23.945547103881836,24.964157104492188
3.4,-0.012293421651614622,23.957134246826172,24.042137145996094
3.6,-0.014464198191760147,23.971256256103516,23.438762664794922
3.8,-0.0062427857060267655,23.985818862915039,22.998313903808594
4,-0.011147746511310785,24.001827239990234,22.568729400634766
4.2,-0.013862117411807873,24.006515502929688,22.094459533691406
4.4,-0.0050923421941408975,24.007289886474609,21.691164016723633
4.6,-0.0034350700282335112,24.008205413818359,21.2557430267334
4.8,-0.00068393342140637969,24.010335922241211,20.974515914916992
5,-0.00887048754944253,24.019634246826172,20.766599655151367
5.2,-0.00010071233177733063,24.03082275390625,20.5705509185791
5.4,-8.4713664403324174E-05,24.035945892333984,20.312023162841797
5.6,-0.013738682648396505,24.036270141601562,20.054763793945312
5.8,-0.021923329427801619,24.037160873413086,19.908235549926758
6,-0.0098729145616971437,24.03729248046875,19.775749206542969
6.2,-0.0087582830818231372,24.039196014404297,19.622188568115234
6.4,-0.010931920644917881,24.040683746337891,19.420190811157227
6.6,-0.013100789836432369,24.040531158447266,19.203189849853516
6.8,-0.0076135616158357067,24.040359497070312,19.076206207275391
7,-0.010877248922582794,24.042083740234375,18.962982177734375
7.2,-0.021797033641441033,24.047695159912109,18.910499572753906
7.4,-0.0092001633920357762,24.062068939208984,18.826900482177734
7.6,-0.00863484831841177,24.066755294799805,18.799678802490234
7.8,-0.0080733479420551646,24.069618225097656,18.803316116333008
8,-0.014068358490989752,24.069942474365234,18.800210952758789
8.2,-0.0091285393280102767,24.068778991699219,18.770452499389648
8.4,-0.0047342218740151765,24.067667007446289,18.727199554443359
8.6,-0.0069059520884788839,24.066287994384766,18.725975036621094
8.8,-0.012355460928429096,24.06523323059082,18.691581726074219
9,-0.01014982603058634,24.062519073486328,18.661796569824219
9.2,-0.012318695222100828,24.059253692626953,18.651275634765625
9.4,-0.011206924765176041,24.058767318725586,18.628719329833984
9.6,-0.012286697887352815,24.061300277709961,18.614997863769531
9.8,-0.01773716040162121,24.063358306884766,18.584085464477539
10,-0.011157021414422985,24.064327239990234,18.557952880859375
